"","cui","term","relatedness_to_target_disease","importance_score","high_confidence_level","high_confidence_level_dict"
"1","C0002395","Alzheimer's Disease","1","2.3651","1","1"
"2","C0011265","Presenile dementia","0.6892","1.4078","1","1"
"3","C0497327","Dementia","0.6871","1.402","1","1"
"4","C0527316","donepezil","0.5436","1.0984","1","1"
"5","C0338656","Impaired cognition","0.5376","0.9821","1","1"
"6","C0011269","Dementia, Vascular","0.4027","0.9659","1","1"
"7","C0860630","Demented","0.4216","0.9241","1","1"
"8","C0025242","Memantine","0.4067","0.9114","1","1"
"9","C1270972","Mild cognitive disorder","0.4422","0.8994","1","1"
"10","C0025260","Memory","0.2756","0.7334","1","1"
"11","C0235946","Cerebral atrophy","0.3774","0.705","1","1"
"12","C0233794","Memory impairment","0.4085","0.703","1","1"
"13","C0002622","Amnesia","0.3967","0.6631","1","1"
"14","C0700327","Memory observations","0.2628","0.6391","1","1"
"15","C0542476","Forgetful","0.3588","0.6337","1","1"
"16","C0004941","Behavioral Symptoms","0.2608","0.6256","1","1"
"17","C0085220","Cerebral Amyloid Angiopathy","0.3927","0.5934","1","1"
"18","C0751295","Memory Loss","0.3379","0.5736","1","1"
"19","C0524851","Neurodegenerative Disorders","0.332","0.5536","1","1"
"20","C4041080","Neurocognitive Disorders","0.2567","0.5527","1","1"
"21","C0424015","Getting lost","0.3609","0.5353","1","1"
"22","C0598853","forgetting","0.3746","0.5266","1","1"
"23","C0233569","Physical wandering","0.22","0.5224","1","1"
"24","C1540677","neuropathology disease","0.2068","0.4628","1","1"
"25","C0392335","Cognitive functions","0.2908","0.4585","1","1"
"26","C3714756","Intellectual Disability","0.2178","0.4526","1","1"
"27","C1392786","Cognitive changes","0.3174","0.45","1","1"
"28","C0935584","Executive Function","0.2503","0.4499","1","1"
"29","C0679575","Neuroimaging","0.2673","0.4456","1","1"
"30","C1142436","Sundowning","0.3303","0.4455","1","1"
"31","C0085632","Apathy","0.316","0.4397","1","1"
"32","C0009241","Cognition Disorders","0.277","0.4318","1","1"
"33","C0004398","Autopsy","0.2222","0.4183","1","1"
"34","C0521390","neuronal","0.1483","0.4067","1","1"
"35","C0684336","Impaired health","0.2527","0.4018","1","1"
